162 ms ; init
22903415 ms ; Button pressed (while motor running)
22905470 ms ; Button pressed (while motor running)
22905858 ms ; Button pressed (while motor running)
22906148 ms ; Motor stopped - Micro switch triggered
22906994 ms ; Button pressed (no action triggered)
22907353 ms ; Button pressed (no action triggered)
23026304 ms ; Button pressed - Motor activated
23029818 ms ; Button pressed (while motor running)
23030422 ms ; Motor stopped - Micro switch triggered
23031146 ms ; Button pressed (no action triggered)
23033379 ms ; Button pressed (no action triggered)
23206090 ms ; Button pressed - Motor activated
23210210 ms ; Motor stopped - Micro switch triggered
23420533 ms ; Button pressed - Motor activated
23421675 ms ; Button pressed (while motor running)
23422009 ms ; Button pressed (while motor running)
23422351 ms ; Button pressed (while motor running)
23422685 ms ; Button pressed (while motor running)
23423232 ms ; Button pressed (while motor running)
23423583 ms ; Button pressed (while motor running)
23423867 ms ; Button pressed (while motor running)
23424312 ms ; Button pressed (while motor running)
23424702 ms ; Motor stopped - Micro switch triggered
23424941 ms ; Button pressed (no action triggered)
23425397 ms ; Button pressed (no action triggered)
23425720 ms ; Button pressed (no action triggered)
23426056 ms ; Button pressed (no action triggered)
23426375 ms ; Button pressed (no action triggered)
23426709 ms ; Button pressed (no action triggered)
23427106 ms ; Button pressed (no action triggered)
23427371 ms ; Button pressed (no action triggered)
23500622 ms ; Button pressed - Motor activated
23501714 ms ; Button pressed (while motor running)
23502117 ms ; Button pressed (while motor running)
23504717 ms ; Motor stopped - Micro switch triggered
23515314 ms ; Button pressed (no action triggered)
23519112 ms ; Button pressed (no action triggered)
23522234 ms ; Button pressed (no action triggered)
23522568 ms ; Button pressed (no action triggered)
23522919 ms ; Button pressed (no action triggered)
23524405 ms ; Button pressed (no action triggered)
23526153 ms ; Button pressed (no action triggered)
23529921 ms ; Button pressed (no action triggered)
23531060 ms ; Button pressed (no action triggered)
23558324 ms ; Button pressed - Motor activated
23562426 ms ; Motor stopped - Micro switch triggered
23565436 ms ; Button pressed (no action triggered)
23601938 ms ; Button pressed - Motor activated
23606081 ms ; Motor stopped - Micro switch triggered
23630060 ms ; Button pressed (no action triggered)
23634285 ms ; Button pressed (no action triggered)
23638970 ms ; Button pressed - Motor activated
23643038 ms ; Motor stopped - Micro switch triggered
23975726 ms ; Button pressed - Motor activated
23979819 ms ; Motor stopped - Micro switch triggered
23982261 ms ; Button pressed (no action triggered)
23982657 ms ; Button pressed (no action triggered)
23998987 ms ; Button pressed (no action triggered)
23999430 ms ; Button pressed (no action triggered)
23999734 ms ; Button pressed (no action triggered)
24000024 ms ; Button pressed (no action triggered)
24000569 ms ; Button pressed (no action triggered)
24001722 ms ; Button pressed (no action triggered)
24001991 ms ; Button pressed (no action triggered)
24002271 ms ; Button pressed (no action triggered)
24004087 ms ; Button pressed (no action triggered)
24005280 ms ; Button pressed (no action triggered)
24005525 ms ; Button pressed (no action triggered)
24005745 ms ; Button pressed (no action triggered)
24005985 ms ; Button pressed (no action triggered)
24006222 ms ; Button pressed (no action triggered)
24006438 ms ; Button pressed (no action triggered)
24006617 ms ; Button pressed (no action triggered)
24006857 ms ; Button pressed (no action triggered)
24007363 ms ; Button pressed (no action triggered)
24309426 ms ; Button pressed - Motor activated
24313521 ms ; Motor stopped - Micro switch triggered
24314107 ms ; Button pressed (no action triggered)
24314530 ms ; Button pressed (no action triggered)
24314827 ms ; Button pressed (no action triggered)
24315076 ms ; Button pressed (no action triggered)
24315598 ms ; Button pressed (no action triggered)
24316163 ms ; Button pressed (no action triggered)
24316503 ms ; Button pressed (no action triggered)
24316753 ms ; Button pressed (no action triggered)
24320823 ms ; Button pressed (no action triggered)
24324899 ms ; Button pressed (no action triggered)
24325323 ms ; Button pressed (no action triggered)
24325742 ms ; Button pressed (no action triggered)
24326189 ms ; Button pressed (no action triggered)
24326594 ms ; Button pressed (no action triggered)
24327002 ms ; Button pressed (no action triggered)
24327383 ms ; Button pressed (no action triggered)
24327806 ms ; Button pressed (no action triggered)
24328180 ms ; Button pressed (no action triggered)
24328542 ms ; Button pressed (no action triggered)
24328870 ms ; Button pressed (no action triggered)
24329256 ms ; Button pressed (no action triggered)
24329526 ms ; Button pressed (no action triggered)
24329758 ms ; Button pressed (no action triggered)
24330068 ms ; Button pressed (no action triggered)
24334111 ms ; Button pressed (no action triggered)
24334723 ms ; Button pressed (no action triggered)
24335145 ms ; Button pressed (no action triggered)
24335585 ms ; Button pressed (no action triggered)
24335967 ms ; Button pressed (no action triggered)
24338308 ms ; Button pressed (no action triggered)
24338697 ms ; Button pressed (no action triggered)
24339075 ms ; Button pressed (no action triggered)
24339412 ms ; Button pressed (no action triggered)
24453499 ms ; Button pressed - Motor activated
24457606 ms ; Motor stopped - Micro switch triggered
24458652 ms ; Button pressed (no action triggered)
24464488 ms ; Button pressed (no action triggered)
24471491 ms ; Button pressed (no action triggered)
24480660 ms ; Button pressed (no action triggered)
24480912 ms ; Button pressed (no action triggered)
24481112 ms ; Button pressed (no action triggered)
24481546 ms ; Button pressed (no action triggered)
24585057 ms ; Button pressed - Motor activated
24589140 ms ; Motor stopped - Micro switch triggered
24597008 ms ; Button pressed (no action triggered)
24598972 ms ; Button pressed (no action triggered)
24603175 ms ; Button pressed (no action triggered)
24604466 ms ; Button pressed (no action triggered)
26634224 ms ; Button pressed - Motor activated
26637470 ms ; Button pressed (while motor running)
26638296 ms ; Motor stopped - Micro switch triggered
26639240 ms ; Button pressed (no action triggered)
26644788 ms ; Button pressed (no action triggered)
27698299 ms ; Button pressed - Motor activated
27702418 ms ; Motor stopped - Micro switch triggered
27707643 ms ; Button pressed (no action triggered)
27707919 ms ; Button pressed (no action triggered)
27708217 ms ; Button pressed (no action triggered)
27708486 ms ; Button pressed (no action triggered)
27709549 ms ; Button pressed (no action triggered)
28066270 ms ; Button pressed - Motor activated
28067587 ms ; Button pressed (while motor running)
28070402 ms ; Motor stopped - Micro switch triggered
28071028 ms ; Button pressed (no action triggered)
29324540 ms ; Button pressed - Motor activated
29328633 ms ; Motor stopped - Micro switch triggered
30513891 ms ; Button pressed - Motor activated
30515493 ms ; Button pressed (while motor running)
30518040 ms ; Motor stopped - Micro switch triggered
30519520 ms ; Button pressed (no action triggered)
30558956 ms ; Button pressed - Motor activated
30561271 ms ; Button pressed (while motor running)
30561945 ms ; Button pressed (while motor running)
30562672 ms ; Button pressed (while motor running)
30563113 ms ; Motor stopped - Micro switch triggered
30563995 ms ; Button pressed (no action triggered)
30564353 ms ; Button pressed (no action triggered)
30564620 ms ; Button pressed (no action triggered)
30566476 ms ; Button pressed (no action triggered)
30567559 ms ; Button pressed (no action triggered)
30617691 ms ; Button pressed - Motor activated
30621785 ms ; Motor stopped - Micro switch triggered
30628459 ms ; Button pressed (no action triggered)
30629006 ms ; Button pressed (no action triggered)
30707482 ms ; Button pressed - Motor activated
30711609 ms ; Motor stopped - Micro switch triggered
31056743 ms ; Button pressed - Motor activated
31058762 ms ; Button pressed (while motor running)
31059247 ms ; Button pressed (while motor running)
31060888 ms ; Motor stopped - Micro switch triggered
31062157 ms ; Button pressed (no action triggered)
31064862 ms ; Button pressed (no action triggered)
31077362 ms ; Button pressed (no action triggered)
31111049 ms ; Button pressed - Motor activated
