258 ms ; Init
6242766 ms ; Button pressed (no action triggered)
6243521 ms ; Button pressed (no action triggered)
6345327 ms ; Button pressed - Motor activated
6347194 ms ; Button pressed (while motor running)
6349386 ms ; Motor stopped - Micro switch triggered
6350219 ms ; Button pressed (no action triggered)
6351820 ms ; Button pressed (no action triggered)
6405623 ms ; Button pressed - Motor activated
6409730 ms ; Motor stopped - Micro switch triggered
6412476 ms ; Button pressed (no action triggered)
6425695 ms ; Button pressed (no action triggered)
6429593 ms ; Button pressed (no action triggered)
6462793 ms ; Button pressed - Motor activated
6465788 ms ; Button pressed (while motor running)
6466857 ms ; Motor stopped - Micro switch triggered
6489131 ms ; Button pressed (no action triggered)
7282307 ms ; Button pressed - Motor activated
7283387 ms ; Button pressed (while motor running)
7283780 ms ; Button pressed (while motor running)
7284197 ms ; Button pressed (while motor running)
7284866 ms ; Button pressed (while motor running)
7285145 ms ; Button pressed (while motor running)
7285394 ms ; Button pressed (while motor running)
7285648 ms ; Button pressed (while motor running)
7285893 ms ; Button pressed (while motor running)
7286105 ms ; Button pressed (while motor running)
7286320 ms ; Motor stopped - Micro switch triggered
7286359 ms ; Button pressed (no action triggered)
7286584 ms ; Button pressed (no action triggered)
7288258 ms ; Button pressed (no action triggered)
7288487 ms ; Button pressed (no action triggered)
7288719 ms ; Button pressed (no action triggered)
7288938 ms ; Button pressed (no action triggered)
7289149 ms ; Button pressed (no action triggered)
7291453 ms ; Button pressed (no action triggered)
7292505 ms ; Button pressed (no action triggered)
7296496 ms ; Button pressed (no action triggered)
7296724 ms ; Button pressed (no action triggered)
7296991 ms ; Button pressed (no action triggered)
7297183 ms ; Button pressed (no action triggered)
7297441 ms ; Button pressed (no action triggered)
7297672 ms ; Button pressed (no action triggered)
7297912 ms ; Button pressed (no action triggered)
7298161 ms ; Button pressed (no action triggered)
7298377 ms ; Button pressed (no action triggered)
7298612 ms ; Button pressed (no action triggered)
7298873 ms ; Button pressed (no action triggered)
7300046 ms ; Button pressed (no action triggered)
7308655 ms ; Button pressed (no action triggered)
7308749 ms ; Button pressed (no action triggered)
7310413 ms ; Button pressed (no action triggered)
7312631 ms ; Button pressed (no action triggered)
7382426 ms ; Button pressed - Motor activated
7386511 ms ; Motor stopped - Micro switch triggered
7387721 ms ; Button pressed (no action triggered)
7389306 ms ; Button pressed (no action triggered)
7389793 ms ; Button pressed (no action triggered)
7390512 ms ; Button pressed (no action triggered)
7390941 ms ; Button pressed (no action triggered)
7391305 ms ; Button pressed (no action triggered)
7391700 ms ; Button pressed (no action triggered)
7393438 ms ; Button pressed (no action triggered)
7395842 ms ; Button pressed (no action triggered)
7396155 ms ; Button pressed (no action triggered)
7396480 ms ; Button pressed (no action triggered)
7396648 ms ; Button pressed (no action triggered)
7466105 ms ; Button pressed - Motor activated
7469700 ms ; Button pressed (while motor running)
7470166 ms ; Motor stopped - Micro switch triggered
7471207 ms ; Button pressed (no action triggered)
7471887 ms ; Button pressed (no action triggered)
7473610 ms ; Button pressed (no action triggered)
7478333 ms ; Button pressed (no action triggered)
7480306 ms ; Button pressed (no action triggered)
7481286 ms ; Button pressed (no action triggered)
7482733 ms ; Button pressed (no action triggered)
7483094 ms ; Button pressed (no action triggered)
7483846 ms ; Button pressed (no action triggered)
7484223 ms ; Button pressed (no action triggered)
7484644 ms ; Button pressed (no action triggered)
7494364 ms ; Button pressed (no action triggered)
7496321 ms ; Button pressed (no action triggered)
7530883 ms ; Button pressed - Motor activated
7532007 ms ; Button pressed (while motor running)
7534964 ms ; Motor stopped - Micro switch triggered
7538634 ms ; Button pressed (no action triggered)
7538954 ms ; Button pressed (no action triggered)
7539324 ms ; Button pressed (no action triggered)
7681222 ms ; Button pressed - Motor activated
7683204 ms ; Button pressed (while motor running)
7685274 ms ; Motor stopped - Micro switch triggered
7689897 ms ; Button pressed (no action triggered)
7692249 ms ; Button pressed (no action triggered)
7704756 ms ; Button pressed (no action triggered)
7706997 ms ; Button pressed (no action triggered)
7725902 ms ; Button pressed - Motor activated
7729090 ms ; Button pressed (while motor running)
7729957 ms ; Motor stopped - Micro switch triggered
7744513 ms ; Button pressed (no action triggered)
7843996 ms ; Button pressed - Motor activated
7848065 ms ; Motor stopped - Micro switch triggered
7892015 ms ; Button pressed - Motor activated
7896058 ms ; Motor stopped - Micro switch triggered
7913496 ms ; Button pressed (no action triggered)
7950698 ms ; Button pressed - Motor activated
7954756 ms ; Motor stopped - Micro switch triggered
8534708 ms ; Button pressed - Motor activated
8538746 ms ; Motor stopped - Micro switch triggered
8539997 ms ; Button pressed (no action triggered)
8542036 ms ; Button pressed (no action triggered)
8542544 ms ; Button pressed (no action triggered)
8596146 ms ; Button pressed - Motor activated
8597217 ms ; Button pressed (while motor running)
8597489 ms ; Button pressed (while motor running)
8597744 ms ; Button pressed (while motor running)
8597984 ms ; Button pressed (while motor running)
8598113 ms ; Button pressed (while motor running)
8598196 ms ; Button pressed (while motor running)
8598784 ms ; Button pressed (while motor running)
8598904 ms ; Button pressed (while motor running)
8599184 ms ; Button pressed (while motor running)
8599418 ms ; Button pressed (while motor running)
8599658 ms ; Button pressed (while motor running)
8599903 ms ; Button pressed (while motor running)
8600141 ms ; Button pressed (while motor running)
8600231 ms ; Motor stopped - Micro switch triggered
8600355 ms ; Button pressed (no action triggered)
8600732 ms ; Button pressed (no action triggered)
8600964 ms ; Button pressed (no action triggered)
8623373 ms ; Button pressed (no action triggered)
8623923 ms ; Button pressed (no action triggered)
8625455 ms ; Button pressed (no action triggered)
8626043 ms ; Button pressed (no action triggered)
8626504 ms ; Button pressed (no action triggered)
8627863 ms ; Button pressed (no action triggered)
8628290 ms ; Button pressed (no action triggered)
8628722 ms ; Button pressed (no action triggered)
8629091 ms ; Button pressed (no action triggered)
8726386 ms ; Button pressed - Motor activated
8727707 ms ; Button pressed (while motor running)
8728275 ms ; Button pressed (while motor running)
8729525 ms ; Button pressed (while motor running)
8730392 ms ; Motor stopped - Micro switch triggered
8732591 ms ; Button pressed (no action triggered)
8733104 ms ; Button pressed (no action triggered)
8733579 ms ; Button pressed (no action triggered)
8733939 ms ; Button pressed (no action triggered)
8738225 ms ; Button pressed (no action triggered)
8738872 ms ; Button pressed (no action triggered)
8739260 ms ; Button pressed (no action triggered)
8739653 ms ; Button pressed (no action triggered)
8740057 ms ; Button pressed (no action triggered)
8740451 ms ; Button pressed (no action triggered)
8741040 ms ; Button pressed (no action triggered)
8741362 ms ; Button pressed (no action triggered)
8741758 ms ; Button pressed (no action triggered)
8742157 ms ; Button pressed (no action triggered)
8742545 ms ; Button pressed (no action triggered)
