415 ms ; init
36128806 ms ; SW1 ;has been pressed
36129238 ms ; SW3 ;has been pressed
36129822 ms ; SW2 ;has been pressed
36129841 ms ; SW3 ;has been pressed
36130160 ms ; SW2 ;has been pressed
36130370 ms ; SW2 ;has been pressed
36130549 ms ; SW2 ;has been pressed
397 ms ; init
397 ms ; init
3113091 ms ; SW2 ;has been pressed
3114007 ms ; SW1 ;has been pressed and the led UV has activate
3115264 ms ; SW1 ;has been pressed
3115441 ms ; SW2 ;has been pressed
3116538 ms ; SW3 ;has been pressed
3116996 ms ; SW4 ;has been pressed
3121677 ms ; SW1 ;has been pressed
3122358 ms ; SW2 ;has been pressed
3122786 ms ; SW2 ;has been pressed
3122958 ms ; SW2 ;has been pressed
3123604 ms ; SW3 ;has been pressed
3124015 ms ; SW4 ;has been pressed
3125035 ms ; SW2 ;has been pressed
3125625 ms ; SW3 ;has been pressed
3125786 ms ; SW3 ;has been pressed
3126078 ms ; SW4 ;has been pressed
3126218 ms ; SW4 ;has been pressed
3126743 ms ; SW1 ;has been pressed
3126904 ms ; SW1 ;has been pressed
3227072 ms ; SW1 ;has been pressed
3227734 ms ; SW2 ;has been pressed and the led UV has activate
3228068 ms ; SW2 ;has been pressed
3229048 ms ; SW3 ;has been pressed
3229716 ms ; SW4 ;has been pressed
3233304 ms ; SW1 ;has been pressed
3233405 ms ; SW3 ;has been pressed
3234528 ms ; SW2 ;has been pressed
3234750 ms ; SW2 ;has been pressed
3234790 ms ; SW3 ;has been pressed
3234821 ms ; SW4 ;has been pressed
3234845 ms ; SW1 ;has been pressed
3248158 ms ; SW1 ;has been pressed
3248509 ms ; SW2 ;has been pressed
3248978 ms ; SW2 ;has been pressed
3249426 ms ; SW3 ;has been pressed
3249611 ms ; SW2 ;has been pressed
3252178 ms ; SW4 ;has been pressed
3259014 ms ; SW2 ;has been pressed
3259611 ms ; SW2 ;has been pressed
3259916 ms ; SW2 ;has been pressed
3260143 ms ; SW2 ;has been pressed
3260350 ms ; SW2 ;has been pressed
3261641 ms ; SW1 ;has been pressed
3319395 ms ; SW3 ;has been pressed and the led UV has activate
3323992 ms ; SW1 ;has been pressed
3324637 ms ; SW2 ;has been pressed
3325163 ms ; SW3 ;has been pressed
3325811 ms ; SW4 ;has been pressed
3330881 ms ; SW1 ;has been pressed
3332100 ms ; SW2 ;has been pressed
3332445 ms ; SW2 ;has been pressed
3336842 ms ; SW3 ;has been pressed
3337449 ms ; SW3 ;has been pressed
3337820 ms ; SW3 ;has been pressed
3338877 ms ; SW2 ;has been pressed
3339597 ms ; SW1 ;has been pressed
3340184 ms ; SW4 ;has been pressed
3340604 ms ; SW2 ;has been pressed
3342427 ms ; SW1 ;has been pressed
3343318 ms ; SW1 ;has been pressed
3344971 ms ; SW1 ;has been pressed
3345737 ms ; SW1 ;has been pressed
3346434 ms ; SW1 ;has been pressed
3348632 ms ; SW1 ;has been pressed
3349858 ms ; SW1 ;has been pressed
3350277 ms ; SW1 ;has been pressed
3350941 ms ; SW1 ;has been pressed
3352050 ms ; SW2 ;has been pressed
3352254 ms ; SW2 ;has been pressed
3352966 ms ; SW2 ;has been pressed
3353105 ms ; SW2 ;has been pressed
3355032 ms ; SW2 ;has been pressed
3355152 ms ; SW2 ;has been pressed
3355401 ms ; SW2 ;has been pressed
3356001 ms ; SW2 ;has been pressed
3357593 ms ; SW2 ;has been pressed
3361288 ms ; SW3 ;has been pressed
3361306 ms ; SW2 ;has been pressed
3361330 ms ; SW4 ;has been pressed
3361349 ms ; SW1 ;has been pressed
3363260 ms ; SW2 ;has been pressed
3363386 ms ; SW2 ;has been pressed
3363980 ms ; SW2 ;has been pressed
3364088 ms ; SW4 ;has been pressed
3364178 ms ; SW3 ;has been pressed
3364287 ms ; SW1 ;has been pressed
3369667 ms ; SW1 ;has been pressed
3370105 ms ; SW2 ;has been pressed
3370333 ms ; SW2 ;has been pressed
3370474 ms ; SW2 ;has been pressed
3371245 ms ; SW3 ;has been pressed
3372539 ms ; SW4 ;has been pressed
3377283 ms ; SW1 ;has been pressed
3377724 ms ; SW2 ;has been pressed
3379040 ms ; SW1 ;has been pressed
3379452 ms ; SW4 ;has been pressed
3379729 ms ; SW4 ;has been pressed
3464259 ms ; SW2 ;has been pressed
3464378 ms ; SW3 ;has been pressed
3464735 ms ; SW1 ;has been pressed
3467671 ms ; SW4 ;has been pressed and the led UV has activate
3503651 ms ; SW2 ;has been pressed
3504781 ms ; SW2 ;has been pressed
3504900 ms ; SW4 ;has been pressed
3505547 ms ; SW2 ;has been pressed
3507014 ms ; SW2 ;has been pressed
3507250 ms ; SW3 ;has been pressed
3508318 ms ; SW1 ;has been pressed
3508546 ms ; SW3 ;has been pressed
3513091 ms ; SW1 ;has been pressed
3513661 ms ; SW1 ;has been pressed
3553678 ms ; SW1 ;has been pressed
3555411 ms ; SW3 ;has been pressed
3555705 ms ; SW3 ;has been pressed
3555983 ms ; SW3 ;has been pressed
3573705 ms ; SW1 ;has been pressed and the led UV has activate
3574732 ms ; SW1 ;has been pressed
3574752 ms ; SW2 ;has been pressed
3574770 ms ; SW3 ;has been pressed
3574790 ms ; SW4 ;has been pressed
3575496 ms ; SW3 ;has been pressed
3575590 ms ; SW2 ;has been pressed
3579682 ms ; SW2 ;has been pressed
3579801 ms ; SW2 ;has been pressed
3579924 ms ; SW2 ;has been pressed
3580051 ms ; SW2 ;has been pressed
3580761 ms ; SW2 ;has been pressed
3581689 ms ; SW4 ;has been pressed
3582864 ms ; SW4 ;has been pressed
3583039 ms ; SW1 ;has been pressed
3586977 ms ; SW1 ;has been pressed
3587404 ms ; SW2 ;has been pressed
3588132 ms ; SW2 ;has been pressed
3588905 ms ; SW2 ;has been pressed
3589170 ms ; SW2 ;has been pressed
3589702 ms ; SW3 ;has been pressed
3589807 ms ; SW2 ;has been pressed
3589924 ms ; SW2 ;has been pressed
3590067 ms ; SW2 ;has been pressed
3591630 ms ; SW2 ;has been pressed
3593024 ms ; SW2 ;has been pressed
3593459 ms ; SW4 ;has been pressed
